parent stop id;nr of child stop facilities
gtfs_tw_v5_CHA307462;1
gtfs_tw_v5_CHA307463;1
gtfs_tw_v5_CHA307467;1
gtfs_tw_v5_CHA307468;1
gtfs_tw_v5_CHA307469;1
gtfs_tw_v5_CHA307503;1
gtfs_tw_v5_CHA307504;1
gtfs_tw_v5_CHA308207;1
gtfs_tw_v5_CHA308208;1
gtfs_tw_v5_CHA308209;1
gtfs_tw_v5_CHA308210;1
gtfs_tw_v5_CHA308211;1
gtfs_tw_v5_CHA308212;1
gtfs_tw_v5_CHA308213;1
gtfs_tw_v5_CHA308214;1
gtfs_tw_v5_CHA308215;1
gtfs_tw_v5_CHA308216;1
gtfs_tw_v5_CHA308217;1
gtfs_tw_v5_CHA308218;1
gtfs_tw_v5_CHA308219;1
gtfs_tw_v5_CHA308220;1
gtfs_tw_v5_CHA308221;1
gtfs_tw_v5_CHA308222;1
gtfs_tw_v5_CHA308223;1
gtfs_tw_v5_CHA308224;1
gtfs_tw_v5_CHA308225;1
gtfs_tw_v5_CHA308226;1
gtfs_tw_v5_CHA308227;1
gtfs_tw_v5_CHA308228;1
gtfs_tw_v5_CHA308229;1
gtfs_tw_v5_CHA308230;1
gtfs_tw_v5_CHA308231;1
gtfs_tw_v5_CHA308234;1
gtfs_tw_v5_CHA308235;1
gtfs_tw_v5_CHA308236;1
gtfs_tw_v5_CHA308237;1
gtfs_tw_v5_CHA308239;1
gtfs_tw_v5_CHA308240;1
gtfs_tw_v5_CHA308241;1
gtfs_tw_v5_CHA308242;1
gtfs_tw_v5_CHA308243;1
gtfs_tw_v5_CHA308244;1
gtfs_tw_v5_CHA308300;1
gtfs_tw_v5_CHA308746;1
gtfs_tw_v5_CHA308747;1
gtfs_tw_v5_CHA308968;1
gtfs_tw_v5_CHA308969;1
gtfs_tw_v5_CHA308970;1
gtfs_tw_v5_CHA308971;1
gtfs_tw_v5_CHA308972;1
gtfs_tw_v5_CHA308973;1
gtfs_tw_v5_CHA308974;1
gtfs_tw_v5_CHA308975;1
gtfs_tw_v5_CHA308976;1
gtfs_tw_v5_CHA308977;1
gtfs_tw_v5_CHA309382;1
gtfs_tw_v5_CHA309383;1
gtfs_tw_v5_CYI294971;1
gtfs_tw_v5_CYI294974;1
gtfs_tw_v5_CYI294975;1
gtfs_tw_v5_CYI297538;1
gtfs_tw_v5_CYI297540;1
gtfs_tw_v5_CYI298680;1
gtfs_tw_v5_CYI298681;1
gtfs_tw_v5_CYI298683;1
gtfs_tw_v5_CYI298685;1
gtfs_tw_v5_CYI298686;1
gtfs_tw_v5_CYI298689;1
gtfs_tw_v5_CYI298691;1
gtfs_tw_v5_CYI298693;1
gtfs_tw_v5_CYI298694;1
gtfs_tw_v5_CYI298695;1
gtfs_tw_v5_CYI298696;1
gtfs_tw_v5_CYI298697;1
gtfs_tw_v5_CYI298698;1
gtfs_tw_v5_CYI298699;1
gtfs_tw_v5_CYI298700;1
gtfs_tw_v5_CYI298701;1
gtfs_tw_v5_CYI302383;1
gtfs_tw_v5_CYI302384;1
gtfs_tw_v5_CYI302387;1
gtfs_tw_v5_CYI302388;1
gtfs_tw_v5_CYI302389;1
gtfs_tw_v5_CYI302391;1
gtfs_tw_v5_CYI302392;1
gtfs_tw_v5_CYI302552;1
gtfs_tw_v5_CYI302553;1
gtfs_tw_v5_CYI302554;1
gtfs_tw_v5_CYI302555;1
gtfs_tw_v5_CYI302560;1
gtfs_tw_v5_CYI302561;1
gtfs_tw_v5_CYI302562;1
gtfs_tw_v5_CYI302563;1
gtfs_tw_v5_CYI302564;1
gtfs_tw_v5_CYI302565;1
gtfs_tw_v5_CYI302566;1
gtfs_tw_v5_CYI302567;1
gtfs_tw_v5_CYI302569;1
gtfs_tw_v5_CYI302570;1
gtfs_tw_v5_CYI302571;1
gtfs_tw_v5_CYI302572;1
gtfs_tw_v5_CYI302573;1
gtfs_tw_v5_CYI302574;1
gtfs_tw_v5_CYI302575;1
