person_id,leg_index,mode,start_time_s,end_time_s,trav_time_s,start_x,start_y,end_x,end_y,start_link,end_link,distance,vehicleRefId,route_type,mode_original,pt_transitLineId,pt_transitRouteId,pt_boardingTime_s,pt_accessFacilityId,pt_egressFacilityId,pt_transportMode
2,4,car,64707,65349,642,293063.2820411516,2768866.8499156632,302208.6841850243,2770966.7424818203,8679,31538,11028.044890436486,2,links,car,,,,,,
2,5,walk,65349,65405,56,302208.6841850243,2770966.7424818203,302149.5977611235,2770981.3927179426,31538,31538,79.13823977207238,,generic,walk,,,,,,
20,0,walk,30000,42738,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
20,1,walk,58800,71538,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
21,0,walk,30060,42798,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
21,1,walk,58860,71598,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
22,0,walk,30120,30176,56,302149.5977611235,2770981.3927179426,302208.6841850243,2770966.7424818203,31538,31538,79.13823977207238,,generic,walk,,,,,,
22,1,car,30176,30949,773,302208.6841850243,2770966.7424818203,293063.2820411516,2768866.8499156632,31538,8679,10814.93522185731,22,links,car,,,,,,
22,2,walk,30949,37936,6987,293063.2820411516,2768866.8499156632,292459.2054021727,2761426.1458051438,8679,8679,9704.740427020415,,generic,walk,,,,,,
22,3,walk,58920,65907,6987,292459.2054021727,2761426.1458051438,293063.2820411516,2768866.8499156632,8679,8679,9704.740427020415,,generic,walk,,,,,,
22,4,car,65907,66549,642,293063.2820411516,2768866.8499156632,302208.6841850243,2770966.7424818203,8679,31538,11028.044890436486,22,links,car,,,,,,
22,5,walk,66549,66605,56,302208.6841850243,2770966.7424818203,302149.5977611235,2770981.3927179426,31538,31538,79.13823977207238,,generic,walk,,,,,,
23,0,walk,30180,42918,12738,302149.5977611235,2770981.3927179426,292459.2054021727,2761426.1458051438,31538,8679,17691.774826260058,,generic,walk,,,,,,
23,1,walk,58980,71718,12738,292459.2054021727,2761426.1458051438,302149.5977611235,2770981.3927179426,8679,31538,17691.774826260058,,generic,walk,,,,,,
24,0,walk,30240,30296,56,302149.5977611235,2770981.3927179426,302208.6841850243,2770966.7424818203,31538,31538,79.13823977207238,,generic,walk,,,,,,
24,1,car,30296,31066,770,302208.6841850243,2770966.7424818203,293063.2820411516,2768866.8499156632,31538,8679,10831.133470341201,24,links,car,,,,,,
24,2,walk,31066,38053,6987,293063.2820411516,2768866.8499156632,292459.2054021727,2761426.1458051438,8679,8679,9704.740427020415,,generic,walk,,,,,,
24,3,walk,59040,66027,6987,292459.2054021727,2761426.1458051438,293063.2820411516,2768866.8499156632,8679,8679,9704.740427020415,,generic,walk,,,,,,
24,4,car,66027,66653,626,293063.2820411516,2768866.8499156632,302208.6841850243,2770966.7424818203,8679,31538,11028.044890436486,24,links,car,,,,,,
24,5,walk,66653,66709,56,302208.6841850243,2770966.7424818203,302149.5977611235,2770981.3927179426,31538,31538,79.13823977207238,,generic,walk,,,,,,
25,0,walk,30300,30356,56,302149.5977611235,2770981.3927179426,302208.6841850243,2770966.7424818203,31538,31538,79.13823977207238,,generic,walk,,,,,,
