stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code
BL14_DN,BL14,忠孝新生-下行月臺(板南線),板南線,25.042498,121.53321,,,0,089,Asia/Taipei,1,二
O07_UP,O07,忠孝新生-上行月臺(中和新蘆線),中和新蘆線,25.042498,121.53321,,,0,089,Asia/Taipei,1,三
O07_DN,O07,忠孝新生-下行月臺(中和新蘆線),中和新蘆線,25.042498,121.53321,,,0,089,Asia/Taipei,1,四
BL14O07_Exit 1,BL14O07,1,板南線/中和新蘆線,25.042784,121.531829,,,2,089,Asia/Taipei,0,
BL14O07_Exit 2,BL14O07,2,板南線/中和新蘆線,25.042103,121.532065,,,2,089,Asia/Taipei,1,
BL14O07_Exit 3,BL14O07,3,板南線/中和新蘆線,25.041783,121.53368,,,2,089,Asia/Taipei,1,
BL14O07_Exit 4,BL14O07,4,板南線/中和新蘆線,25.042458,121.533213,,,2,089,Asia/Taipei,0,
BL14O07_Exit 5,BL14O07,5,板南線/中和新蘆線,25.041214,121.532232,,,2,089,Asia/Taipei,0,
BL14O07_Exit 6,BL14O07,6,板南線/中和新蘆線,25.040791,121.533068,,,2,089,Asia/Taipei,0,
BL14O07_Exit 7,BL14O07,7,板南線/中和新蘆線,25.041729,121.533068,,,2,089,Asia/Taipei,0,
010,BR10BL15,忠孝復興,文湖線/板南線,25.041749,121.545026,,,1,,Asia/Taipei,1,
BL15_UP,BL15,忠孝復興-上行月臺(板南線),板南線,25.041749,121.545026,,,0,010,Asia/Taipei,1,一
BL15_DN,BL15,忠孝復興-下行月臺(板南線),板南線,25.041749,121.545026,,,0,010,Asia/Taipei,1,二
BR10_UP,BR10,忠孝復興-上行月臺(文湖線),文湖線,25.041749,121.545026,,,0,010,Asia/Taipei,1,一
BR10_DN,BR10,忠孝復興-下行月臺(文湖線),文湖線,25.041749,121.545026,,,0,010,Asia/Taipei,1,二
BR10BL15_Exit 1,BR10BL15,1,文湖線/板南線,25.041797,121.543143,,,2,010,Asia/Taipei,0,
BR10BL15_Exit 2,BR10BL15,2,文湖線/板南線,25.041355,121.543422,,,2,010,Asia/Taipei,1,
BR10BL15_Exit 3,BR10BL15,3,文湖線/板南線,25.041467,121.544806,,,2,010,Asia/Taipei,0,
BR10BL15_Exit 4,BR10BL15,4,文湖線/板南線,25.041772,121.54506,,,2,010,Asia/Taipei,0,
BR10BL15_Exit 5,BR10BL15,5,文湖線/板南線,25.04202,121.543985,,,2,010,Asia/Taipei,0,
091,BL16,忠孝敦化,板南線,25.041505,121.55045,,,1,,Asia/Taipei,1,
BL16_UP,BL16,忠孝敦化-上行月臺(板南線),板南線,25.041505,121.55045,,,0,091,Asia/Taipei,1,一
