route_id,agency_id,route_short_name,route_long_name,route_type,route_desc,route_color,route_text_color
TXG2525_1,TXG_8103,黃23,黃23,3,,,
TXG2526_0,TXG_8103,黃24,黃24,3,,,
TXG2526_1,TXG_8103,黃24,黃24,3,,,
TXG2527_0,TXG_8102,黃25,黃25,3,,,
TXG2527_1,TXG_8102,黃25,黃25,3,,,
TXG253_0,TXG_6,253,253,3,,,
TXG253_1,TXG_6,253,253,3,,,
TXG258_0,TXG_6,258,258,3,,,
TXG258_1,TXG_6,258,258,3,,,
TXG2581_0,TXG_6,258繞,258繞,3,,,
TXG2581_1,TXG_6,258繞,258繞,3,,,
TXG26_0,TXG_1,26,26,3,,,
TXG26_1,TXG_1,26,26,3,,,
TXG260_0,TXG_6,260,260,3,,,
TXG260_1,TXG_6,260,260,3,,,
TXG261_0,TXG_6,261,261,3,,,
TXG261_1,TXG_6,261,261,3,,,
TXG263_0,TXG_6,263,263,3,,,
TXG263_1,TXG_6,263,263,3,,,
TXG264_0,TXG_6,264,264,3,,,
TXG264_1,TXG_6,264,264,3,,,
TXG265_0,TXG_6,265,265,3,,,
TXG265_1,TXG_6,265,265,3,,,
TXG266_0,TXG_6,266,266,3,,,
TXG266_1,TXG_6,266,266,3,,,
TXG2661_0,TXG_6,266繞1,266繞1,3,,,
TXG2661_1,TXG_6,266繞1,266繞1,3,,,
TXG2662_0,TXG_6,266繞2,266繞2,3,,,
TXG2662_1,TXG_6,266繞2,266繞2,3,,,
TXG267_0,TXG_6,267,267,3,,,
TXG267_1,TXG_6,267,267,3,,,
TXG269_0,TXG_6,269,269,3,,,
TXG269_1,TXG_6,269,269,3,,,
TXG27_0,TXG_1,27,27,3,,,
TXG27_1,TXG_1,27,27,3,,,
TXG270_0,TXG_6,270,270,3,,,
TXG270_1,TXG_6,270,270,3,,,
TXG271_0,TXG_6,271,271,3,,,
TXG271_1,TXG_6,271,271,3,,,
TXG272_0,TXG_6,272,272,3,,,
TXG272_1,TXG_6,272,272,3,,,
TXG273_0,TXG_6,273,273,3,,,
TXG273_1,TXG_6,273,273,3,,,
TXG275_0,TXG_6,275,275,3,,,
TXG275_1,TXG_6,275,275,3,,,
TXG276_0,TXG_6,276,276,3,,,
TXG276_1,TXG_6,276,276,3,,,
TXG277_0,TXG_6,277,277,3,,,
TXG277_1,TXG_6,277,277,3,,,
TXG278_0,TXG_6,278,278,3,,,
TXG278_1,TXG_6,278,278,3,,,
TXG279_0,TXG_6,279,279,3,,,
TXG279_1,TXG_6,279,279,3,,,
TXG28_0,TXG_1,28,28,3,,,
TXG28_1,TXG_1,28,28,3,,,
TXG280_0,TXG_6,280,280,3,,,
TXG280_1,TXG_6,280,280,3,,,
TXG281_0,TXG_U-15-3,281,281,3,,,
TXG281_1,TXG_U-15-3,281,281,3,,,
TXG2811_0,TXG_U-15-3,281延,281延,3,,,
TXG2811_1,TXG_U-15-3,281延,281延,3,,,
TXG282_0,TXG_U-15-3,282,282,3,,,
TXG282_1,TXG_U-15-3,282,282,3,,,
TXG2821_0,TXG_U-15-3,282副,282副,3,,,
TXG2821_1,TXG_U-15-3,282副,282副,3,,,
TXG283_0,TXG_19,283,283,3,,,
TXG283_1,TXG_19,283,283,3,,,
TXG284_0,TXG_1,284,284,3,,,
TXG284_1,TXG_1,284,284,3,,,
TXG285_0,TXG_11,285,285,3,,,
TXG285_1,TXG_11,285,285,3,,,
TXG2851_0,TXG_11,285副,285副,3,,,
TXG2851_1,TXG_11,285副,285副,3,,,
TXG286_0,TXG_6,286,286,3,,,
TXG286_1,TXG_6,286,286,3,,,
TXG287_0,TXG_6,287,287,3,,,
TXG287_1,TXG_6,287,287,3,,,
TXG288_0,TXG_6,288,288,3,,,
TXG288_1,TXG_6,288,288,3,,,
TXG289_0,TXG_23,289,289,3,,,
TXG289_1,TXG_23,289,289,3,,,
TXG29_0,TXG_1,29,29,3,,,
TXG29_1,TXG_1,29,29,3,,,
TXG290_0,TXG_1,290,290,3,,,
TXG290_1,TXG_1,290,290,3,,,
TXG2901_0,TXG_1,290繞,290繞,3,,,
TXG2901_1,TXG_1,290繞,290繞,3,,,
TXG291_0,TXG_U-15-3,291,291,3,,,
TXG291_1,TXG_U-15-3,291,291,3,,,
TXG3_0,TXG_U-15-3,3,3,3,,,
TXG3_1,TXG_U-15-3,3,3,3,,,
TXG30_0,TXG_19,30,30,3,,,
TXG30_1,TXG_19,30,30,3,,,
TXG300_0,TXG_U-1-3-4,300,300,3,,,
TXG300_1,TXG_U-1-3-4,300,300,3,,,
TXG3001_0,TXG_25,市民小巴1,市民小巴1,3,,,
TXG3001_1,TXG_25,市民小巴1,市民小巴1,3,,,
TXG3002_0,TXG_25,市民小巴2,市民小巴2,3,,,
TXG3002_1,TXG_25,市民小巴2,市民小巴2,3,,,
TXG30021_0,TXG_25,市民小巴2區間車,市民小巴2區間車,3,,,
TXG30021_1,TXG_25,市民小巴2區間車,市民小巴2區間車,3,,,
TXG3003_0,TXG_25,市民小巴3,市民小巴3,3,,,
TXG3003_1,TXG_25,市民小巴3,市民小巴3,3,,,
TXG3004_0,TXG_25,市民小巴4,市民小巴4,3,,,
TXG3004_1,TXG_25,市民小巴4,市民小巴4,3,,,
TXG30041_0,TXG_25,市民小巴4延,市民小巴4延,3,,,
TXG30041_1,TXG_25,市民小巴4延,市民小巴4延,3,,,
TXG301_0,TXG_U-15-3,301,301,3,,,
TXG301_1,TXG_U-15-3,301,301,3,,,
TXG3010_0,TXG_19,30延,30延,3,,,
TXG3010_1,TXG_19,30延,30延,3,,,
TXG302_0,TXG_U-15-3,302,302,3,,,
TXG302_1,TXG_U-15-3,302,302,3,,,
TXG3020_0,TXG_19,30副,30副,3,,,
TXG3020_1,TXG_19,30副,30副,3,,,
TXG3021_0,TXG_U-15-3,302延,302延,3,,,
TXG3021_1,TXG_U-15-3,302延,302延,3,,,
TXG303_0,TXG_U-15-3,303,303,3,,,
TXG303_1,TXG_U-15-3,303,303,3,,,
TXG304_0,TXG_1,304,304,3,,,
TXG304_1,TXG_1,304,304,3,,,
TXG305_0,TXG_4,305,305,3,,,
TXG305_1,TXG_4,305,305,3,,,
TXG306_0,TXG_4,306,306,3,,,
TXG306_1,TXG_4,306,306,3,,,
TXG307_0,TXG_1,307,307,3,,,
TXG307_1,TXG_1,307,307,3,,,
TXG308_0,TXG_U-15-3,308,308,3,,,
TXG308_1,TXG_U-15-3,308,308,3,,,
TXG3081_0,TXG_U-15-3,308副,308副,3,,,
TXG3081_1,TXG_U-15-3,308副,308副,3,,,
TXG3082_0,TXG_U-15-3,308副繞,308副繞,3,,,
TXG309_0,TXG_U-1-3-4,309,309,3,,,
TXG309_1,TXG_U-1-3-4,309,309,3,,,
TXG310_0,TXG_U-1-3-4,310,310,3,,,
TXG310_1,TXG_U-1-3-4,310,310,3,,,
TXG32_0,TXG_19,32,32,3,,,
TXG32_1,TXG_19,32,32,3,,,
TXG323_0,TXG_1,323,323,3,,,
TXG323_1,TXG_1,323,323,3,,,
TXG324_0,TXG_1,324,324,3,,,
TXG324_1,TXG_1,324,324,3,,,
TXG325_0,TXG_1,325,325,3,,,
TXG325_1,TXG_1,325,325,3,,,
TXG326_0,TXG_U-15-3,326,326,3,,,
TXG326_1,TXG_U-15-3,326,326,3,,,
TXG328_0,TXG_4,328,328,3,,,
TXG328_1,TXG_4,328,328,3,,,
TXG3281_0,TXG_4,328繞,328繞,3,,,
TXG3281_1,TXG_4,328繞,328繞,3,,,
TXG33_0,TXG_1,33,33,3,,,
TXG33_1,TXG_1,33,33,3,,,
TXG35_0,TXG_1,35,35,3,,,
TXG35_1,TXG_1,35,35,3,,,
TXG3510_0,TXG_U-15-3,351,351,3,,,
TXG3510_1,TXG_U-15-3,351,351,3,,,
TXG352_0,TXG_19,352,352,3,,,
TXG352_1,TXG_19,352,352,3,,,
TXG3521_0,TXG_19,352延,352延,3,,,
TXG3521_1,TXG_19,352延,352延,3,,,
TXG353_0,TXG_4,353,353,3,,,
TXG353_1,TXG_4,353,353,3,,,
TXG3541_0,TXG_U-15-3,354,354,3,,,
TXG3541_1,TXG_U-15-3,354,354,3,,,
TXG355_0,TXG_19,355,355,3,,,
TXG355_1,TXG_19,355,355,3,,,
TXG357_0,TXG_1,357,357,3,,,
TXG357_1,TXG_1,357,357,3,,,
TXG358_0,TXG_19,358,358,3,,,
TXG358_1,TXG_19,358,358,3,,,
TXG3581_0,TXG_19,358延,358延,3,,,
TXG3581_1,TXG_19,358延,358延,3,,,
TXG361_0,TXG_19,361,361,3,,,
TXG361_1,TXG_19,361,361,3,,,
TXG365_0,TXG_1,365,365,3,,,
TXG365_1,TXG_1,365,365,3,,,
TXG368_0,TXG_4,368,368,3,,,
TXG368_1,TXG_4,368,368,3,,,
TXG37_0,TXG_U-15-3,37,37,3,,,
TXG37_1,TXG_U-15-3,37,37,3,,,
TXG39_0,TXG_24,39,39,3,,,
TXG39_1,TXG_24,39,39,3,,,
TXG4010_0,TXG_19,綠1,綠1,3,,,
TXG4010_1,TXG_19,綠1,綠1,3,,,
TXG4020_0,TXG_3,綠2,綠2,3,,,
TXG4020_1,TXG_3,綠2,綠2,3,,,
TXG4030_0,TXG_3,綠3,綠3,3,,,
TXG4030_1,TXG_3,綠3,綠3,3,,,
TXG4040_0,TXG_U-15-3,綠4,綠4,3,,,
TXG4040_1,TXG_U-15-3,綠4,綠4,3,,,
TXG41_0,TXG_1,41,41,3,,,
TXG41_1,TXG_1,41,41,3,,,
TXG410_0,TXG_U-1-3-4,310區1,310區1,3,,,
TXG410_1,TXG_U-1-3-4,310區1,310區1,3,,,
TXG411_0,TXG_U-1-3-4,310區2,310區2,3,,,
TXG411_1,TXG_U-1-3-4,310區2,310區2,3,,,
TXG45_0,TXG_19,45,45,3,,,
TXG45_1,TXG_19,45,45,3,,,
TXG450_0,TXG_6,866區2,866區2,3,,,
TXG450_1,TXG_6,866區2,866區2,3,,,
TXG451_0,TXG_19,45延,45延,3,,,
TXG451_1,TXG_19,45延,45延,3,,,
TXG453_0,TXG_6,866區1,866區1,3,,,
TXG453_1,TXG_6,866區1,866區1,3,,,
TXG459_0,TXG_19,45區,45區,3,,,
TXG459_1,TXG_19,45區,45區,3,,,
TXG460_0,TXG_19,45延1,45延1,3,,,
TXG460_1,TXG_19,45延1,45延1,3,,,
