route_id,service_id,trip_id,shape_id,direction_id,bikes_allowed,trip_headsign,trip_short_name,block_id,wheelchair_accessible
Orange,360,360_2130_UP,,,,蘆洲站,,,1
Orange,360,360_2134_UP,,,,蘆洲站,,,1
Orange,360,360_2143_DN,,,,南勢角站,,,1
Orange,360,360_2172_UP,,,,蘆洲站,,,1
Orange,360,360_2180_UP,,,,蘆洲站,,,1
Orange,360,360_2182_UP,,,,蘆洲站,,,1
Orange,360,360_2202_UP,,,,蘆洲站,,,1
Orange,360,360_2204_UP,,,,蘆洲站,,,1
Orange,360,360_2219_DN,,,,南勢角站,,,1
Orange,360,360_1004_UP,,,,迴龍站,,,1
Orange,360,360_1035_DN,,,,南勢角站,,,1
Orange,360,360_1066_UP,,,,蘆洲站,,,1
Orange,360,360_1087_DN,,,,南勢角站,,,1
Orange,360,360_1105_DN,,,,南勢角站,,,1
Orange,360,360_1140_UP,,,,迴龍站,,,1
Orange,360,360_1147_DN,,,,南勢角站,,,1
Orange,360,360_1159_DN,,,,南勢角站,,,1
Orange,360,360_1172_UP,,,,迴龍站,,,1
Orange,360,360_1187_DN,,,,南勢角站,,,1
Orange,360,360_1216_UP,,,,迴龍站,,,1
Orange,360,360_1233_DN,,,,南勢角站,,,1
Orange,360,360_1238_UP,,,,迴龍站,,,1
Orange,360,360_2011_DN,,,,南勢角站,,,1
Orange,360,360_2014_UP,,,,蘆洲站,,,1
Orange,360,360_2016_UP,,,,蘆洲站,,,1
Orange,360,360_2033_DN,,,,南勢角站,,,1
Orange,360,360_2111_DN,,,,南勢角站,,,1
Orange,360,360_2114_UP,,,,蘆洲站,,,1
Orange,360,360_2131_DN,,,,南勢角站,,,1
Orange,360,360_2135_DN,,,,南勢角站,,,1
Orange,360,360_2144_UP,,,,蘆洲站,,,1
Orange,360,360_2149_DN,,,,南勢角站,,,1
Orange,360,360_2151_DN,,,,南勢角站,,,1
Orange,360,360_2169_DN,,,,南勢角站,,,1
Orange,360,360_2200_UP,,,,蘆洲站,,,1
Orange,360,360_2224_UP,,,,蘆洲站,,,1
Orange,360,360_2225_DN,,,,南勢角站,,,1
Orange,360,360_1001_DN,,,,南勢角站,,,1
Orange,360,360_1024_UP,,,,迴龍站,,,1
Orange,360,360_1029_DN,,,,南勢角站,,,1
Orange,360,360_1065_DN,,,,南勢角站,,,1
Orange,360,360_1077_DN,,,,南勢角站,,,1
Orange,360,360_1093_DN,,,,南勢角站,,,1
Orange,360,360_1094_UP,,,,迴龍站,,,1
Orange,360,360_1106_UP,,,,迴龍站,,,1
Orange,360,360_1125_DN,,,,南勢角站,,,1
Orange,360,360_1126_UP,,,,迴龍站,,,1
Orange,360,360_1151_DN,,,,南勢角站,,,1
Orange,360,360_1170_UP,,,,迴龍站,,,1
Orange,360,360_1186_UP,,,,迴龍站,,,1
Orange,360,360_1208_UP,,,,迴龍站,,,1
Orange,360,360_1211_DN,,,,南勢角站,,,1
Orange,360,360_1234_UP,,,,迴龍站,,,1
Orange,360,360_1247_DN,,,,南勢角站,,,1
Orange,360,360_2005_DN,,,,南勢角站,,,1
Orange,360,360_2015_DN,,,,南勢角站,,,1
Orange,360,360_2023_DN,,,,南勢角站,,,1
Orange,360,360_2030_UP,,,,蘆洲站,,,1
Orange,360,360_2031_DN,,,,南勢角站,,,1
Orange,360,360_2038_UP,,,,蘆洲站,,,1
Orange,360,360_2043_DN,,,,南勢角站,,,1
Orange,360,360_2055_DN,,,,南勢角站,,,1
Orange,360,360_2063_DN,,,,南勢角站,,,1
Orange,360,360_2080_UP,,,,蘆洲站,,,1
Orange,360,360_2093_DN,,,,南勢角站,,,1
Orange,360,360_2107_DN,,,,南勢角站,,,1
Orange,360,360_2115_DN,,,,南勢角站,,,1
Orange,360,360_2123_DN,,,,南勢角站,,,1
Orange,360,360_2158_UP,,,,蘆洲站,,,1
Orange,360,360_2161_DN,,,,南勢角站,,,1
Orange,360,360_2162_UP,,,,蘆洲站,,,1
Orange,360,360_2203_DN,,,,南勢角站,,,1
Orange,360,360_2207_DN,,,,南勢角站,,,1
Orange,360,360_2211_DN,,,,南勢角站,,,1
Orange,360,360_1055_DN,,,,南勢角站,,,1
Orange,360,360_1059_DN,,,,南勢角站,,,1
Orange,360,360_1079_DN,,,,南勢角站,,,1
Orange,360,360_1084_UP,,,,迴龍站,,,1
Orange,360,360_1108_UP,,,,迴龍站,,,1
Orange,360,360_1111_DN,,,,南勢角站,,,1
Orange,360,360_1133_DN,,,,南勢角站,,,1
Orange,360,360_1134_UP,,,,迴龍站,,,1
Orange,360,360_1150_UP,,,,迴龍站,,,1
Orange,360,360_1165_DN,,,,南勢角站,,,1
Orange,360,360_1174_UP,,,,迴龍站,,,1
Orange,360,360_1176_UP,,,,迴龍站,,,1
Orange,360,360_1184_UP,,,,迴龍站,,,1
Orange,360,360_1215_DN,,,,南勢角站,,,1
Orange,360,360_1217_DN,,,,南勢角站,,,1
Orange,360,360_1235_DN,,,,南勢角站,,,1
Orange,360,360_1242_UP,,,,迴龍站,,,1
Orange,360,360_2003_DN,,,,南勢角站,,,1
Orange,360,360_2028_UP,,,,迴龍站,,,1
Orange,360,360_2047_DN,,,,南勢角站,,,1
Orange,360,360_2060_UP,,,,蘆洲站,,,1
Orange,360,360_2073_DN,,,,南勢角站,,,1
Orange,360,360_2086_UP,,,,蘆洲站,,,1
Orange,360,360_2129_DN,,,,南勢角站,,,1
Orange,360,360_2150_UP,,,,蘆洲站,,,1
Orange,360,360_2159_DN,,,,南勢角站,,,1
Orange,360,360_2164_UP,,,,迴龍站,,,1
Orange,360,360_2239_DN,,,,南勢角站,,,1
Orange,360,360_1014_UP,,,,迴龍站,,,1
Orange,360,360_1016_UP,,,,迴龍站,,,1
Orange,360,360_1039_DN,,,,南勢角站,,,1
Orange,360,360_1043_DN,,,,南勢角站,,,1
Orange,360,360_1051_DN,,,,南勢角站,,,1
Orange,360,360_1080_UP,,,,迴龍站,,,1
Orange,360,360_1112_UP,,,,迴龍站,,,1
Orange,360,360_1124_UP,,,,迴龍站,,,1
Orange,360,360_1127_DN,,,,南勢角站,,,1
Orange,360,360_1145_DN,,,,南勢角站,,,1
Orange,360,360_1156_UP,,,,迴龍站,,,1
Orange,360,360_1157_DN,,,,南勢角站,,,1
Orange,360,360_1189_DN,,,,南勢角站,,,1
Orange,360,360_1190_UP,,,,迴龍站,,,1
Orange,360,360_1193_DN,,,,南勢角站,,,1
Orange,360,360_1196_UP,,,,迴龍站,,,1
Orange,360,360_1202_UP,,,,迴龍站,,,1
Orange,360,360_1231_DN,,,,南勢角站,,,1
Orange,360,360_1239_DN,,,,南勢角站,,,1
Orange,360,360_2002_UP,,,,蘆洲站,,,1
Orange,360,360_2027_DN,,,,南勢角站,,,1
Orange,360,360_2051_DN,,,,南勢角站,,,1
Orange,360,360_2074_UP,,,,蘆洲站,,,1
Orange,360,360_2083_DN,,,,南勢角站,,,1
Orange,360,360_2092_UP,,,,蘆洲站,,,1
Orange,360,360_2096_UP,,,,蘆洲站,,,1
Orange,360,360_2099_DN,,,,南勢角站,,,1
Orange,360,360_2103_DN,,,,南勢角站,,,1
Orange,360,360_2118_UP,,,,蘆洲站,,,1
Orange,360,360_2128_UP,,,,蘆洲站,,,1
Orange,360,360_2166_UP,,,,蘆洲站,,,1
Orange,360,360_2167_DN,,,,南勢角站,,,1
Orange,360,360_2190_UP,,,,蘆洲站,,,1
Orange,360,360_2209_DN,,,,南勢角站,,,1
Orange,360,360_2216_UP,,,,蘆洲站,,,1
Orange,360,360_2231_DN,,,,南勢角站,,,1
Orange,360,360_2237_DN,,,,南勢角站,,,1
Orange,360,360_2240_UP,,,,迴龍站,,,1
Orange,360,360_2244_UP,,,,蘆洲站,,,1
Orange,360,360_1005_DN,,,,南勢角站,,,1
Orange,360,360_1015_DN,,,,南勢角站,,,1
Orange,360,360_1018_UP,,,,迴龍站,,,1
Orange,360,360_1052_UP,,,,迴龍站,,,1
Orange,360,360_1061_DN,,,,南勢角站,,,1
Orange,360,360_1088_UP,,,,迴龍站,,,1
Orange,360,360_1101_DN,,,,南勢角站,,,1
Orange,360,360_1107_DN,,,,南勢角站,,,1
Orange,360,360_1118_UP,,,,迴龍站,,,1
Orange,360,360_1148_UP,,,,迴龍站,,,1
Orange,360,360_1152_UP,,,,迴龍站,,,1
Orange,360,360_1175_DN,,,,南勢角站,,,1
Orange,360,360_1203_DN,,,,南勢角站,,,1
Orange,360,360_1213_DN,,,,南勢角站,,,1
Orange,360,360_1250_UP,,,,蘆洲站,,,1
Orange,360,360_2009_DN,,,,南勢角站,,,1
Orange,360,360_2024_UP,,,,蘆洲站,,,1
Orange,360,360_2042_UP,,,,蘆洲站,,,1
Orange,360,360_2054_UP,,,,蘆洲站,,,1
Orange,360,360_2104_UP,,,,蘆洲站,,,1
Orange,360,360_2122_UP,,,,蘆洲站,,,1
Orange,360,360_2133_DN,,,,南勢角站,,,1
Orange,360,360_2136_UP,,,,蘆洲站,,,1
Orange,360,360_2137_DN,,,,南勢角站,,,1
Orange,360,360_2141_DN,,,,南勢角站,,,1
Orange,360,360_2142_UP,,,,蘆洲站,,,1
Orange,360,360_2192_UP,,,,蘆洲站,,,1
Orange,360,360_1023_DN,,,,南勢角站,,,1
Orange,360,360_1026_UP,,,,迴龍站,,,1
Orange,360,360_1042_UP,,,,迴龍站,,,1
Orange,360,360_1085_DN,,,,南勢角站,,,1
Orange,360,360_1104_UP,,,,迴龍站,,,1
Orange,360,360_1117_DN,,,,南勢角站,,,1
Orange,360,360_1123_DN,,,,南勢角站,,,1
Orange,360,360_1129_DN,,,,南勢角站,,,1
Orange,360,360_1141_DN,,,,南勢角站,,,1
Orange,360,360_1143_DN,,,,南勢角站,,,1
Orange,360,360_1164_UP,,,,迴龍站,,,1
Orange,360,360_1171_DN,,,,南勢角站,,,1
Orange,360,360_1181_DN,,,,南勢角站,,,1
Orange,360,360_1185_DN,,,,南勢角站,,,1
Orange,360,360_1200_UP,,,,迴龍站,,,1
Orange,360,360_1240_UP,,,,迴龍站,,,1
Orange,360,360_2008_UP,,,,蘆洲站,,,1
Orange,360,360_2049_DN,,,,南勢角站,,,1
Orange,360,360_2062_UP,,,,蘆洲站,,,1
Orange,360,360_2068_UP,,,,蘆洲站,,,1
Orange,360,360_2098_UP,,,,蘆洲站,,,1
Orange,360,360_2100_UP,,,,蘆洲站,,,1
Orange,360,360_2106_UP,,,,蘆洲站,,,1
Orange,360,360_2124_UP,,,,蘆洲站,,,1
Orange,360,360_2139_DN,,,,南勢角站,,,1
Orange,360,360_2147_DN,,,,南勢角站,,,1
Orange,360,360_2183_DN,,,,南勢角站,,,1
Orange,360,360_2186_UP,,,,迴龍站,,,1
Orange,360,360_2194_UP,,,,蘆洲站,,,1
Orange,360,360_2214_UP,,,,蘆洲站,,,1
Orange,360,360_2220_UP,,,,蘆洲站,,,1
Orange,360,360_2232_UP,,,,蘆洲站,,,1
Orange,360,360_2235_DN,,,,南勢角站,,,1
Orange,360,360_1009_DN,,,,南勢角站,,,1
Orange,360,360_1012_UP,,,,迴龍站,,,1
Orange,360,360_1041_DN,,,,南勢角站,,,1
Orange,360,360_1092_UP,,,,迴龍站,,,1
Orange,360,360_1110_UP,,,,迴龍站,,,1
Orange,360,360_1119_DN,,,,南勢角站,,,1
Orange,360,360_1162_UP,,,,迴龍站,,,1
Orange,360,360_1194_UP,,,,迴龍站,,,1
Orange,360,360_1198_UP,,,,迴龍站,,,1
Orange,360,360_1219_DN,,,,南勢角站,,,1
Orange,360,360_2010_UP,,,,蘆洲站,,,1
Orange,360,360_2018_UP,,,,蘆洲站,,,1
Orange,360,360_2025_DN,,,,南勢角站,,,1
Orange,360,360_2048_UP,,,,蘆洲站,,,1
Orange,360,360_2059_DN,,,,南勢角站,,,1
Orange,360,360_2071_DN,,,,南勢角站,,,1
Orange,360,360_2076_UP,,,,蘆洲站,,,1
Orange,360,360_2094_UP,,,,蘆洲站,,,1
Orange,360,360_2121_DN,,,,南勢角站,,,1
Orange,360,360_2132_UP,,,,蘆洲站,,,1
Orange,360,360_2145_DN,,,,南勢角站,,,1
Orange,360,360_2155_DN,,,,南勢角站,,,1
Orange,360,360_2160_UP,,,,蘆洲站,,,1
Orange,360,360_2170_UP,,,,蘆洲站,,,1
Orange,360,360_2175_DN,,,,南勢角站,,,1
Orange,360,360_2181_DN,,,,南勢角站,,,1
Orange,360,360_2215_DN,,,,南勢角站,,,1
Orange,360,360_2223_DN,,,,南勢角站,,,1
Orange,360,360_2238_UP,,,,蘆洲站,,,1
Orange,360,360_1019_DN,,,,南勢角站,,,1
Orange,360,360_1020_UP,,,,迴龍站,,,1
Orange,360,360_1040_UP,,,,迴龍站,,,1
Orange,360,360_1070_UP,,,,迴龍站,,,1
Orange,360,360_1102_UP,,,,迴龍站,,,1
Orange,360,360_1130_UP,,,,迴龍站,,,1
Orange,360,360_1135_DN,,,,南勢角站,,,1
Orange,360,360_1146_UP,,,,迴龍站,,,1
Orange,360,360_1163_DN,,,,南勢角站,,,1
Orange,360,360_1169_DN,,,,南勢角站,,,1
Orange,360,360_1227_DN,,,,南勢角站,,,1
Orange,360,360_1229_DN,,,,南勢角站,,,1
Orange,360,360_1245_DN,,,,南勢角站,,,1
Orange,360,360_2004_UP,,,,蘆洲站,,,1
Orange,360,360_2066_UP,,,,蘆洲站,,,1
Orange,360,360_2069_DN,,,,南勢角站,,,1
Orange,360,360_2078_UP,,,,蘆洲站,,,1
