time_s,time,person_id,mode,mode_original,x,y,leg_index,status,vehicleRefId,pt_transitLineId,pt_transitRouteId,pt_transportMode
23744,6:35:44,metro_up_01,subway,pt,302574.5441195908,2770907.1111725834,1,in_leg,,Blue,403_1460_UP,subway
23744,6:35:44,metro_up_01,subway,pt,303354.2351431491,2770704.4126788145,1,in_leg,,Blue,403_1460_UP,subway
23745,6:35:45,metro_up_01,subway,pt,301023.73078062176,2770286.8453713553,1,in_leg,,Blue,403_1460_UP,subway
23749,6:35:49,metro_up_01,subway,pt,297671.437055217,2769181.393914934,1,in_leg,,Blue,403_1460_UP,subway
23749,6:35:49,metro_up_01,subway,pt,299827.9322143095,2769645.0068916474,1,in_leg,,Blue,403_1460_UP,subway
23749,6:35:49,metro_up_01,subway,pt,301840.5922092236,2770817.5997958556,1,in_leg,,Blue,403_1460_UP,subway
23749,6:35:49,metro_up_01,subway,pt,302576.77467612346,2770906.5035407674,1,in_leg,,Blue,403_1460_UP,subway
23749,6:35:49,metro_up_01,subway,pt,303357.2348335811,2770703.6546666836,1,in_leg,,Blue,403_1460_UP,subway
23750,6:35:50,metro_up_01,subway,pt,301026.99263115035,2770289.9447996244,1,in_leg,,Blue,403_1460_UP,subway
23754,6:35:54,metro_up_01,subway,pt,297674.07057055645,2769185.9077570112,1,in_leg,,Blue,403_1460_UP,subway
23754,6:35:54,metro_up_01,subway,pt,299840.8901570472,2769647.625170933,1,in_leg,,Blue,403_1460_UP,subway
23754,6:35:54,metro_up_01,subway,pt,301844.000918844,2770819.3513050647,1,in_leg,,Blue,403_1460_UP,subway
23754,6:35:54,metro_up_01,subway,pt,302579.00523265614,2770905.895908951,1,in_leg,,Blue,403_1460_UP,subway
23754,6:35:54,metro_up_01,subway,pt,303360.234524013,2770702.896654553,1,in_leg,,Blue,403_1460_UP,subway
23755,6:35:55,metro_up_01,subway,pt,301030.25448167895,2770293.0442278935,1,in_leg,,Blue,403_1460_UP,subway
23759,6:35:59,metro_up_01,subway,pt,297676.7040858959,2769190.4215990887,1,in_leg,,Blue,403_1460_UP,subway
23759,6:35:59,metro_up_01,subway,pt,299853.84809978487,2769650.2434502193,1,in_leg,,Blue,403_1460_UP,subway
23759,6:35:59,metro_up_01,subway,pt,301847.4096284645,2770821.102814274,1,in_leg,,Blue,403_1460_UP,subway
23759,6:35:59,metro_up_01,subway,pt,302581.2357891888,2770905.2882771348,1,in_leg,,Blue,403_1460_UP,subway
23759,6:35:59,metro_up_01,subway,pt,303363.234214445,2770702.138642422,1,in_leg,,Blue,403_1460_UP,subway
23760,6:36:00,metro_up_01,subway,pt,301033.51633220754,2770296.1436561625,1,in_leg,,Blue,403_1460_UP,subway
23764,6:36:04,metro_up_01,subway,pt,297679.33760123537,2769194.935441166,1,in_leg,,Blue,403_1460_UP,subway
23764,6:36:04,metro_up_01,subway,pt,299866.80604252254,2769652.861729505,1,in_leg,,Blue,403_1460_UP,subway
23764,6:36:04,metro_up_01,subway,pt,301850.8183380849,2770822.854323483,1,in_leg,,Blue,403_1460_UP,subway
23764,6:36:04,metro_up_01,subway,pt,302583.4663457215,2770904.6806453187,1,in_leg,,Blue,403_1460_UP,subway
23764,6:36:04,metro_up_01,subway,pt,303366.233904877,2770701.3806302906,1,in_leg,,Blue,403_1460_UP,subway
23765,6:36:05,metro_up_01,subway,pt,301036.77818273613,2770299.2430844316,1,in_leg,,Blue,403_1460_UP,subway
23769,6:36:09,metro_up_01,subway,pt,297681.9711165749,2769199.4492832436,1,in_leg,,Blue,403_1460_UP,subway
23769,6:36:09,metro_up_01,subway,pt,299879.7639852602,2769655.4800087907,1,in_leg,,Blue,403_1460_UP,subway
23769,6:36:09,metro_up_01,subway,pt,301854.2270477053,2770824.6058326922,1,in_leg,,Blue,403_1460_UP,subway
23769,6:36:09,metro_up_01,subway,pt,302585.6969022542,2770904.073013502,1,in_leg,,Blue,403_1460_UP,subway
23769,6:36:09,metro_up_01,subway,pt,303369.2335953089,2770700.6226181597,1,in_leg,,Blue,403_1460_UP,subway
23770,6:36:10,metro_up_01,subway,pt,301040.0400332648,2770302.3425127007,1,in_leg,,Blue,403_1460_UP,subway
23774,6:36:14,metro_up_01,subway,pt,297684.60463191435,2769203.9631253215,1,in_leg,,Blue,403_1460_UP,subway
23774,6:36:14,metro_up_01,subway,pt,299892.7219279979,2769658.098288077,1,in_leg,,Blue,403_1460_UP,subway
23774,6:36:14,metro_up_01,subway,pt,301857.63575732574,2770826.3573419014,1,in_leg,,Blue,403_1460_UP,subway
23774,6:36:14,metro_up_01,subway,pt,302587.9274587869,2770903.465381686,1,in_leg,,Blue,403_1460_UP,subway
23774,6:36:14,metro_up_01,subway,pt,303372.2332857409,2770699.864606029,1,in_leg,,Blue,403_1460_UP,subway
23775,6:36:15,metro_up_01,subway,pt,301043.3018837934,2770305.44194097,1,in_leg,,Blue,403_1460_UP,subway
23779,6:36:19,metro_up_01,subway,pt,297687.2381472538,2769208.476967399,1,in_leg,,Blue,403_1460_UP,subway
23779,6:36:19,metro_up_01,subway,pt,299905.67987073556,2769660.7165673627,1,in_leg,,Blue,403_1460_UP,subway
23779,6:36:19,metro_up_01,subway,pt,301861.0444669462,2770828.1088511106,1,in_leg,,Blue,403_1460_UP,subway
23779,6:36:19,metro_up_01,subway,pt,302590.15801531955,2770902.85774987,1,in_leg,,Blue,403_1460_UP,subway
23779,6:36:19,metro_up_01,subway,pt,303375.2329761728,2770699.106593898,1,in_leg,,Blue,403_1460_UP,subway
23780,6:36:20,metro_up_01,subway,pt,301046.563734322,2770308.541369239,1,in_leg,,Blue,403_1460_UP,subway
23784,6:36:24,metro_up_01,subway,pt,297689.8716625933,2769212.9908094765,1,in_leg,,Blue,403_1460_UP,subway
23784,6:36:24,metro_up_01,subway,pt,299918.63781347324,2769663.3348466484,1,in_leg,,Blue,403_1460_UP,subway
23784,6:36:24,metro_up_01,subway,pt,301864.45317656663,2770829.8603603197,1,in_leg,,Blue,403_1460_UP,subway
23784,6:36:24,metro_up_01,subway,pt,302592.38857185224,2770902.2501180535,1,in_leg,,Blue,403_1460_UP,subway
23784,6:36:24,metro_up_01,subway,pt,303378.2326666048,2770698.348581767,1,in_leg,,Blue,403_1460_UP,subway
23785,6:36:25,metro_up_01,subway,pt,301049.82558485057,2770311.640797508,1,in_leg,,Blue,403_1460_UP,subway
23789,6:36:29,metro_up_01,subway,pt,299931.5957562109,2769665.9531259346,1,in_leg,,Blue,403_1460_UP,subway
23789,6:36:29,metro_up_01,subway,pt,301867.86188618705,2770831.611869529,1,in_leg,,Blue,403_1460_UP,subway
23789,6:36:29,metro_up_01,subway,pt,302594.6191283849,2770901.6424862375,1,in_leg,,Blue,403_1460_UP,subway
23789,6:36:29,metro_up_01,subway,pt,303381.23235703673,2770697.590569636,1,in_leg,,Blue,403_1460_UP,subway
23790,6:36:30,metro_up_01,subway,pt,301053.08743537916,2770314.740225777,1,in_leg,,Blue,403_1460_UP,subway
23794,6:36:34,metro_up_01,subway,pt,299944.5536989486,2769668.5714052203,1,in_leg,,Blue,403_1460_UP,subway
23794,6:36:34,metro_up_01,subway,pt,301871.27059580747,2770833.363378738,1,in_leg,,Blue,403_1460_UP,subway
23794,6:36:34,metro_up_01,subway,pt,302596.8496849176,2770901.034854421,1,in_leg,,Blue,403_1460_UP,subway
23794,6:36:34,metro_up_01,subway,pt,303384.2320474687,2770696.832557505,1,in_leg,,Blue,403_1460_UP,subway
23795,6:36:35,metro_up_01,subway,pt,301056.34928590775,2770317.839654046,1,in_leg,,Blue,403_1460_UP,subway
