stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,stop_x_EPSG3826,stop_y_EPSG3826
BL16_Exit 1,BL16,1,板南線,25.041642,121.550578,,,2,091,Asia/Taipei,0,,305557.147,2770502.912
BL16_Exit 2,BL16,2,板南線,25.041632,121.551694,,,2,091,Asia/Taipei,1,,305669.766,2770502.263
BL16_Exit 3,BL16,3,板南線,25.04134,121.551586,,,2,091,Asia/Taipei,0,,305659,2770469.875
BL16_Exit 4,BL16,4,板南線,25.04135,121.550567,,,2,091,Asia/Taipei,0,,305556.169,2770470.564
BL16_Exit 5,BL16,5,板南線,25.041238,121.549824,,,2,091,Asia/Taipei,0,,305481.244,2770457.853
BL16_Exit 6,BL16,6,板南線,25.041029,121.549174,,,2,091,Asia/Taipei,0,,305415.747,2770434.437
BL16_Exit 7,BL16,7,板南線,25.041661,121.549913,,,2,091,Asia/Taipei,0,,305490.034,2770504.744
BL16_Exit 8,BL16,8,板南線,25.041928,121.549194,,,2,091,Asia/Taipei,0,,305417.361,2770534.024
092,BL17,國父紀念館,板南線,25.04137,121.557815,,,1,,Asia/Taipei,1,,306287.55,2770475.774
BL17_UP,BL17,國父紀念館-上行月臺(板南線),板南線,25.04137,121.557815,,,0,092,Asia/Taipei,1,一,306287.55,2770475.774
BL17_DN,BL17,國父紀念館-下行月臺(板南線),板南線,25.04137,121.557815,,,0,092,Asia/Taipei,1,二,306287.55,2770475.774
BL17_Exit 1,BL17,1,板南線,25.041838,121.556663,,,2,092,Asia/Taipei,0,,306171.089,2770527.133
BL17_Exit 2,BL17,2,板南線,25.041029,121.556704,,,2,092,Asia/Taipei,0,,306175.595,2770437.541
BL17_Exit 3,BL17,3,板南線,25.041195,121.557981,,,2,092,Asia/Taipei,0,,306304.381,2770456.459
BL17_Exit 4,BL17,4,板南線,25.04117,121.558539,,,2,092,Asia/Taipei,1,,306360.7,2770453.922
BL17_Exit 5,BL17,5,板南線,25.041501,121.558002,,,2,092,Asia/Taipei,0,,306306.36,2770490.362
093,BL18,市政府,板南線,25.041135,121.565685,,,1,,Asia/Taipei,1,,307081.815,2770453.039
BL18_UP,BL18,市政府-上行月臺(板南線),板南線,25.041135,121.565685,,,0,093,Asia/Taipei,1,一,307081.815,2770453.039
BL18_DN,BL18,市政府-下行月臺(板南線),板南線,25.041135,121.565685,,,0,093,Asia/Taipei,1,二,307081.815,2770453.039
BL18_Exit 1,BL18,1,板南線,25.041408,121.565459,,,2,093,Asia/Taipei,0,,307058.883,2770483.183
BL18_Exit 2,BL18,2,板南線,25.040971,121.565062,,,2,093,Asia/Taipei,1,,307019.024,2770434.611
BL18_Exit 3,BL18,3,板南線,25.040903,121.567149,,,2,093,Asia/Taipei,0,,307229.654,2770427.96
BL18_Exit 4,BL18,4,板南線,25.041263,121.567181,,,2,093,Asia/Taipei,0,,307232.716,2770467.849
094,BL19,永春,板南線,25.040855,121.5762,,,1,,Asia/Taipei,1,,308143.011,2770426.5
BL19_UP,BL19,永春-上行月臺(板南線),板南線,25.040855,121.5762,,,0,094,Asia/Taipei,1,一,308143.011,2770426.5
BL19_DN,BL19,永春-下行月臺(板南線),板南線,25.040855,121.5762,,,0,094,Asia/Taipei,1,二,308143.011,2770426.5
