vehicle_id,mode,first_use_time_s,last_use_time_s,first_use_time,last_use_time,agent_count
veh_378_subway,subway,52446,52446,14:34:06,14:34:06,1
veh_379_subway,subway,38309,38309,10:38:29,10:38:29,1
veh_382_subway,subway,46646,46646,12:57:26,12:57:26,1
veh_395_subway,subway,56127,56127,15:35:27,15:35:27,2
veh_401_subway,subway,60609,60609,16:50:09,16:50:09,1
veh_409_subway,subway,75425,75425,20:57:05,20:57:05,1
veh_418_subway,subway,68727,68727,19:05:27,19:05:27,1
veh_423_subway,subway,59855,60447,16:37:35,16:47:27,3
veh_428_subway,subway,47991,47991,13:19:51,13:19:51,1
veh_432_subway,subway,53512,55728,14:51:52,15:28:48,2
veh_435_subway,subway,54092,54092,15:01:32,15:01:32,1
veh_444_subway,subway,50760,50760,14:06:00,14:06:00,1
veh_446_subway,subway,51910,51910,14:25:10,14:25:10,1
veh_448_subway,subway,52490,53138,14:34:50,14:45:38,3
veh_451_subway,subway,47231,47231,13:07:11,13:07:11,1
veh_453_subway,subway,40605,40605,11:16:45,11:16:45,1
veh_455_subway,subway,53660,53660,14:54:20,14:54:20,1
veh_461_subway,subway,24229,24886,6:43:49,6:54:46,2
veh_463_subway,subway,26240,27009,7:17:20,7:30:09,2
veh_464_subway,subway,32639,32639,9:03:59,9:03:59,1
veh_465_subway,subway,24256,24685,6:44:16,6:51:25,3
veh_472_subway,subway,67985,67985,18:53:05,18:53:05,1
veh_473_subway,subway,60335,60335,16:45:35,16:45:35,1
veh_474_subway,subway,67679,67679,18:47:59,18:47:59,1
veh_476_subway,subway,32174,32590,8:56:14,9:03:10,2
veh_477_subway,subway,22964,23762,6:22:44,6:36:02,3
veh_504_subway,subway,26136,26136,7:15:36,7:15:36,1
veh_505_subway,subway,23166,23166,6:26:06,6:26:06,1
veh_536_subway,subway,22969,23517,6:22:49,6:31:57,3
veh_537_subway,subway,81650,81650,22:40:50,22:40:50,1
veh_541_subway,subway,60281,60281,16:44:41,16:44:41,1
veh_542_subway,subway,60693,61556,16:51:33,17:05:56,2
veh_543_subway,subway,26048,26048,7:14:08,7:14:08,1
veh_545_subway,subway,57632,59505,16:00:32,16:31:45,3
veh_597_subway,subway,29495,29495,8:11:35,8:11:35,1
veh_600_subway,subway,82889,82889,23:01:29,23:01:29,1
veh_606_subway,subway,57855,57855,16:04:15,16:04:15,1
veh_607_subway,subway,29497,29497,8:11:37,8:11:37,1
veh_620_subway,subway,64755,64755,17:59:15,17:59:15,1
veh_622_subway,subway,30215,30215,8:23:35,8:23:35,1
veh_623_subway,subway,24415,25750,6:46:55,7:09:10,2
veh_624_subway,subway,60534,60534,16:48:54,16:48:54,1
veh_637_subway,subway,29771,30309,8:16:11,8:25:09,2
veh_647_subway,subway,23200,23504,6:26:40,6:31:44,3
veh_652_subway,subway,68824,68824,19:07:04,19:07:04,1
veh_660_subway,subway,69345,69345,19:15:45,19:15:45,1
veh_663_subway,subway,22927,24488,6:22:07,6:48:08,6
veh_673_subway,subway,30266,30266,8:24:26,8:24:26,1
veh_681_subway,subway,62313,62313,17:18:33,17:18:33,1
veh_685_subway,subway,61166,61166,16:59:26,16:59:26,1
veh_687_subway,subway,35953,35953,9:59:13,9:59:13,1
veh_689_subway,subway,58235,58235,16:10:35,16:10:35,1
veh_694_subway,subway,29543,29543,8:12:23,8:12:23,1
veh_703_subway,subway,30884,30884,8:34:44,8:34:44,1
veh_720_subway,subway,30390,30390,8:26:30,8:26:30,1
veh_723_subway,subway,25140,25140,6:59:00,6:59:00,1
veh_732_subway,subway,28230,28230,7:50:30,7:50:30,1
veh_736_subway,subway,33152,33152,9:12:32,9:12:32,1
veh_749_subway,subway,66578,66578,18:29:38,18:29:38,1
veh_757_subway,subway,28252,28252,7:50:52,7:50:52,1
veh_762_subway,subway,66717,66717,18:31:57,18:31:57,1
veh_766_subway,subway,66044,66044,18:20:44,18:20:44,1
