time_s,time,person_id,mode,mode_original,x,y,leg_index,status,vehicleRefId,pt_transitLineId,pt_transitRouteId,pt_transportMode,activity_type,activity_sequence,activity_link,activity_dist_km,activity_match_type,activity_count,activity_types
63005,17:30:05,pt_transfer_agent_36,pt,pt,307082.3768231126,2769501.297405868,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.4508756681789903,spatial,3,"home,pt interaction,work"
63006,17:30:06,car_agent_81,walk,walk,300280.05,2780471.08,5,in_leg,,,,,home,0,2120,0.0,spatial,3,"car interaction,home,work"
63006,17:30:06,pt_agent_16,pt,pt,303764.15544815053,2771701.4077029256,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.018427381162129348,spatial,3,"home,pt interaction,work"
63007,17:30:07,pt_transfer_agent_31,pt,pt,302928.577098315,2768842.917835576,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63009,17:30:09,pt_transfer_agent_35,pt,pt,302489.95605123945,2768008.3469398366,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63010,17:30:10,pt_transfer_agent_36,pt,pt,307114.5657663154,2769500.2633980582,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.41867012150373506,spatial,3,"home,pt interaction,work"
63011,17:30:11,pt_agent_16,pt,pt,303764.8954908403,2771682.9921821496,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.03685776513368879,spatial,3,"home,pt interaction,work"
63012,17:30:12,pt_transfer_agent_31,pt,pt,302915.7004569969,2768817.2149969935,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63014,17:30:14,pt_transfer_agent_35,pt,pt,302478.0448221284,2767986.051337111,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63015,17:30:15,pt_transfer_agent_36,pt,pt,307146.7547095181,2769499.2293902487,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.38646457482856444,spatial,3,"home,pt interaction,work"
63016,17:30:16,pt_agent_16,pt,pt,303765.63553353003,2771664.576661373,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.055288149382392474,spatial,3,"home,pt interaction,work"
63017,17:30:17,pt_transfer_agent_31,pt,pt,302902.8238156789,2768791.512158411,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63019,17:30:19,pt_transfer_agent_35,pt,pt,302466.13359301735,2767963.7557343855,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63020,17:30:20,pt_transfer_agent_36,pt,pt,307178.9436527209,2769498.1953824386,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.35425902815335414,spatial,3,"home,pt interaction,work"
63021,17:30:21,pt_agent_16,pt,pt,303766.3755762198,2771646.1611405965,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.07371853370026038,spatial,3,"home,pt interaction,work"
63022,17:30:22,pt_transfer_agent_31,pt,pt,302889.9471743608,2768765.809319829,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63024,17:30:24,pt_transfer_agent_35,pt,pt,302454.2223639063,2767941.4601316596,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63025,17:30:25,pt_transfer_agent_36,pt,pt,307211.1325959237,2769497.161374629,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.3220534814782024,spatial,3,"home,pt interaction,work"
63026,17:30:26,pt_agent_16,pt,pt,303767.1156189096,2771627.7456198204,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.09214891804532639,spatial,3,"home,pt interaction,work"
63027,17:30:27,pt_transfer_agent_31,pt,pt,302877.0705330427,2768740.1064812467,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63029,17:30:29,pt_transfer_agent_35,pt,pt,302442.31113479525,2767919.164528934,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63030,17:30:30,pt_transfer_agent_36,pt,pt,307243.32153912645,2769496.127366819,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.2898479348030938,spatial,3,"home,pt interaction,work"
63031,17:30:31,pt_agent_16,pt,pt,303767.8556615994,2771609.330099044,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.11057930240468904,spatial,3,"home,pt interaction,work"
63032,17:30:32,pt_transfer_agent_31,pt,pt,302864.1938917247,2768714.403642664,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63034,17:30:34,pt_transfer_agent_35,pt,pt,302430.3999056842,2767896.868926208,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63035,17:30:35,pt_transfer_agent_36,pt,pt,307275.51048232923,2769495.0933590094,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.25764238812808005,spatial,3,"home,pt interaction,work"
63036,17:30:36,pt_agent_16,pt,pt,303768.59570428915,2771590.9145782674,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.12900968677195512,spatial,3,"home,pt interaction,work"
63037,17:30:37,pt_transfer_agent_31,pt,pt,302851.3172504066,2768688.700804082,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63039,17:30:39,pt_transfer_agent_35,pt,pt,302418.48867657315,2767874.573323482,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63040,17:30:40,pt_transfer_agent_36,pt,pt,307307.69942553196,2769494.0593512,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.22543684145323856,spatial,3,"home,pt interaction,work"
63041,17:30:41,pt_agent_16,pt,pt,303769.33574697893,2771572.4990574913,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.1474400711436956,spatial,3,"home,pt interaction,work"
63042,17:30:42,pt_transfer_agent_31,pt,pt,302838.4406090886,2768662.9979654998,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63044,17:30:44,pt_transfer_agent_35,pt,pt,302406.57744746207,2767852.2777207564,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63045,17:30:45,pt_transfer_agent_36,pt,pt,307339.88836873474,2769493.0253433897,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.19323129477849507,spatial,3,"home,pt interaction,work"
63046,17:30:46,pt_agent_16,pt,pt,303770.07578966866,2771554.083536715,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.16587045551919197,spatial,3,"home,pt interaction,work"
63047,17:30:47,pt_transfer_agent_31,pt,pt,302825.5639677705,2768637.2951269173,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63049,17:30:49,pt_transfer_agent_35,pt,pt,302394.66621835105,2767829.982118031,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63050,17:30:50,pt_transfer_agent_36,pt,pt,307372.0773119375,2769491.99133558,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.1610257481040405,spatial,3,"home,pt interaction,work"
63051,17:30:51,pt_agent_16,pt,pt,303770.81583235844,2771535.6680159383,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.18430083989699586,spatial,3,"home,pt interaction,work"
63052,17:30:52,pt_transfer_agent_31,pt,pt,302812.6873264524,2768611.592288335,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63054,17:30:54,pt_transfer_agent_35,pt,pt,302382.75498923997,2767807.686515305,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63055,17:30:55,pt_transfer_agent_36,pt,pt,307404.2662551403,2769490.9573277705,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.1288202014300652,spatial,3,"home,pt interaction,work"
63056,17:30:56,pt_agent_16,pt,pt,303771.5558750482,2771517.252495162,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.2027312242760109,spatial,3,"home,pt interaction,work"
63057,17:30:57,pt_transfer_agent_31,pt,pt,302799.8106851344,2768585.889449753,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63059,17:30:59,pt_transfer_agent_35,pt,pt,302370.84376012895,2767785.3909125794,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63060,17:31:00,pt_transfer_agent_36,pt,pt,307436.4551983431,2769489.9233199605,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.09661465475703354,spatial,3,"home,pt interaction,work"
63061,17:31:01,pt_agent_16,pt,pt,303772.295917738,2771498.8369743857,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.22116160865674855,spatial,3,"home,pt interaction,work"
63062,17:31:02,pt_transfer_agent_31,pt,pt,302786.9340438163,2768560.1866111704,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63064,17:31:04,pt_transfer_agent_35,pt,pt,302358.93253101787,2767763.0953098536,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63065,17:31:05,pt_transfer_agent_36,pt,pt,307468.6441415458,2769488.889312151,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.06440910808647156,spatial,3,"home,pt interaction,work"
63066,17:31:06,pt_agent_16,pt,pt,303773.0359604278,2771480.4214536096,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.23959199303798806,spatial,3,"home,pt interaction,work"
63067,17:31:07,pt_transfer_agent_31,pt,pt,302774.0574024982,2768534.483772588,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63069,17:31:09,pt_transfer_agent_35,pt,pt,302347.02130190685,2767740.7997071277,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63070,17:31:10,pt_transfer_agent_36,pt,pt,307500.8330847486,2769487.855304341,8,in_leg,,Red,377_1221_DN,,home,0,142285,0.03220356142542309,spatial,3,"home,pt interaction,work"
63071,17:31:11,pt_agent_16,pt,pt,303773.7760031175,2771462.005932833,4,in_leg,,Green,183_6441_DN,,work,3,102932,0.2580223774204504,spatial,3,"home,pt interaction,work"
63072,17:31:12,pt_transfer_agent_31,pt,pt,302761.1807611802,2768508.780934006,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
63074,17:31:14,pt_transfer_agent_35,pt,pt,302335.11007279577,2767718.5041044024,8,in_leg,,Orange,389_1287_DN,,,,,,,3,"home,pt interaction,work"
