stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
THB260187,八德東寧路口,25.048843,121.564582,THB260187,0,
THB260653,捷運忠孝復興站,25.041808,121.542706,THB260653,0,
THB260737,捷運忠孝新生站,25.04202724,121.5329692,THB260737,0,
THB260743,捷運劍潭站(北藝中心),25.08524,121.52494,THB260743,0,
THB260934,臺北市區監理所,25.04857,121.56061,THB260934,0,
THB261573,玉成國小,25.054328,121.592529,THB261573,0,
THB261599,石潭公園(成功),25.06138,121.59124,THB261599,0,
THB262760,石潭公園(成功),25.06095,121.59105,THB262760,0,
THB264656,世貿中心(基隆路),25.033618,121.559802,THB264656,0,
THB266034,庫倫街口,25.06995,121.51825,THB266034,0,
THB266193,大同國小,25.064979,121.518177,THB266193,0,
THB266213,長元西街口,25.065106,121.49698,THB266213,0,
THB266306,高公局,25.06654,121.424451,THB266306,0,
THB266362,板橋客運站,25.01551,121.46511,THB266362,0,
THB266554,正義郵局,25.04159,121.53843,THB266554,0,
THB266555,捷運行天宮站(松江路),25.057668,121.533229,THB266555,0,
THB266558,民族重慶路口,25.068341,121.513762,THB266558,0,
THB266596,捷運菜寮站,25.05935,121.49081,THB266596,0,
THB266635,中華路北站,25.045663,121.509248,THB266635,0,
THB266676,民生重慶路口,25.0573,121.51365,THB266676,0,
THB266681,民權龍江路口,25.06261,121.539614,THB266681,0,
THB266692,基隆長興街口,25.01738,121.54503,THB266692,0,
THB266695,西湖圖書館(湖光教會),25.07889,121.57852,THB266695,0,
THB266716,士林國中,25.09481,121.52289,THB266716,0,
THB266718,大同路口,25.061378,121.494996,THB266718,0,
THB266735,新北大道路口,25.06298,121.4869,THB266735,0,
THB266744,中興中學,25.048408,121.542906,THB266744,0,
THB266759,文湖國小,25.08438,121.56152,THB266759,0,
THB266765,世貿中心(基隆路),25.03355,121.56011,THB266765,0,
THB266814,三安里,25.06888,121.4958,THB266814,0,
THB266819,三興國小(臨江街觀光夜市),25.02856,121.55708,THB266819,0,
THB266823,士林官邸(中正),25.09637,121.53146,THB266823,0,
THB266868,內湖高中,25.0786,121.58758,THB266868,0,
THB266869,捷運六張犁站(基隆路),25.023713,121.552041,THB266869,0,
THB266903,民權松江路口,25.06253,121.5336,THB266903,0,
THB266907,玉成里,25.050906,121.580783,THB266907,0,
THB267018,光華商場,25.044621,121.533089,THB267018,0,
THB267035,三重運動場,25.06233,121.49203,THB267035,0,
THB267036,三重運動場,25.06283,121.4904,THB267036,0,
THB267040,三興國小(臨江街觀光夜市),25.028238,121.556626,THB267040,0,
THB267069,中影文化城,25.09711,121.54467,THB267069,0,
THB267087,公館,25.012179,121.538136,THB267087,0,
THB267095,文湖國小,25.08415,121.56154,THB267095,0,
THB267123,民權建國路口,25.06248001,121.5375652,THB267123,0,
THB267124,捷運大橋頭站,25.062653,121.513686,THB267124,0,
THB267128,石牌,25.109448,121.51253,THB267128,0,
THB267159,士林國中,25.09449,121.52279,THB267159,0,
THB267175,中山藝術公園,25.060499,121.49236,THB267175,0,
THB267193,仁愛新生路口,25.03789,121.53288,THB267193,0,
THB267196,內湖高中,25.07899,121.58824,THB267196,0,
THB267231,民權復興路口,25.06213,121.5448,THB267231,0,
THB267250,行天宮,25.063659,121.533331,THB267250,0,
THB267357,捷運大橋頭站,25.062607,121.513528,THB267357,0,
THB267358,捷運六張犁站(基隆路),25.023433,121.55138,THB267358,0,
THB267412,三重站,25.07009,121.491859,THB267412,0,
THB267550,捷運文德站(碧湖公園),25.0787011697845,121.58440762736,THB267550,0,
THB267590,基隆長興街口,25.017545,121.544517,THB267590,0,
THB267593,西湖國中,25.08519,121.56544,THB267593,0,
THB267595,吳興街口,25.0316,121.55855,THB267595,0,
THB267597,宏國新村,25.11551,121.52039,THB267597,0,
THB267604,和平高中,25.020172,121.547669,THB267604,0,
THB267650,大智街口(三重),25.07028,121.491734,THB267650,0,
THB267653,時報大樓,25.032942,121.496956,THB267653,0,
THB267681,捷運文德站(碧湖公園),25.0784,121.5844,THB267681,0,
THB267696,西湖國中,25.08566,121.56561,THB267696,0,
THB267699,吳興街口,25.03154,121.55885,THB267699,0,
THB267712,昌吉重慶路口,25.065655,121.513749,THB267712,0,
THB267713,明德國中,25.10729,121.51771,THB267713,0,
THB267714,東方科學園區,25.0614,121.64917,THB267714,0,
THB267721,松山高中(基隆路),25.044401,121.566191,THB267721,0,
THB267752,故宮路口,25.09814,121.54607,THB267752,0,
THB267759,重陽站,25.070244,121.491687,THB267759,0,
THB267760,重陽站,25.071294,121.492723,THB267760,0,
THB267811,西湖圖書館(湖光教會),25.0786,121.57853,THB267811,0,
THB267830,明德國中,25.10712,121.51777,THB267830,0,
THB267851,長安松江路口,25.048227,121.53306,THB267851,0,
THB267852,長春松江路口,25.054519,121.533172,THB267852,0,
THB267856,捷運松江南京站,25.051587,121.533134,THB267856,0,
THB267864,奎山國中,25.112694,121.521917,THB267864,0,
THB267877,修德國小,25.06701,121.48921,THB267877,0,
THB267898,振興醫院,25.1176,121.52177,THB267898,0,
THB267909,捷運南港展覽館站(南港路),25.05519,121.61749,THB267909,0,
THB267912,捷運劍南路站,25.084617,121.555924,THB267912,0,
THB267918,和平高中,25.0197,121.54752,THB267918,0,
THB267966,奎山國中,25.11239,121.52168,THB267966,0,
THB267986,師大分部,25.00835,121.53791,THB267986,0,
THB267987,庫倫街口,25.06993,121.518242,THB267987,0,
THB268002,振興醫院,25.1181,121.52212,THB268002,0,
THB268006,國防醫學中心,25.07109,121.59011,THB268006,0,
THB268007,國防醫學中心,25.07101,121.58989,THB268007,0,
THB268015,捷運忠孝敦化站,25.04167,121.55028,THB268015,0,
THB268018,捷運劍南路站,25.08528,121.55457,THB268018,0,
THB268085,雙溪公園,25.09802,121.53829,THB268085,0,
THB268091,交通部觀光署,25.041611,121.555916,THB268091,0,
THB268093,捷運西門站,25.04243,121.50822,THB268093,0,
THB268131,菜寮(重新路),25.057355,121.487816,THB268131,0,
THB268167,臺大,25.017861,121.533649,THB268167,0,
THB268179,龍門路口,25.07025,121.49511,THB268179,0,
THB268180,龍門路口,25.07067,121.49486,THB268180,0,
THB268190,麗山新村,25.08519,121.57427,THB268190,0,
THB268232,小南門,25.03777,121.50685,THB268232,0,
THB268249,方濟中學,25.0769,121.59025,THB268249,0,
THB268250,方濟中學,25.0771,121.58995,THB268250,0,
THB268291,宏國新村,25.11614,121.52013,THB268291,0,
THB268299,忠孝路口,25.07109,121.492438,THB268299,0,
THB268304,昌吉重慶路口,25.065936,121.513636,THB268304,0,
THB268331,新湖一路口,25.06068,121.5788,THB268331,0,
THB268346,福林國小,25.09625,121.52966,THB268346,0,
THB268360,遠東世界中心,25.06086,121.64592,THB268360,0,
THB268362,德明財經科技大學(環山),25.08631,121.56826,THB268362,0,
THB268397,麗山高中(港墘),25.08288,121.57833,THB268397,0,
THB268398,麗山高中(港墘),25.08368,121.57804,THB268398,0,
THB268399,麗山新村,25.08509,121.5741,THB268399,0,
THB268422,上灣仔,25.066899,121.590733,THB268422,0,
THB268471,潭美公園,25.05917,121.58578,THB268471,0,
THB268487,龍安國小(公務人力發展學院),25.02521,121.53491,THB268487,0,
THB268490,聯合報,25.04133,121.56309,THB268490,0,
THB268515,喬治商職,25.02649,121.55475,THB268515,0,
THB268528,圓環(重慶),25.052881,121.514049,THB268528,0,
THB268561,臺大癌醫(基隆路),25.01582,121.54233,THB268561,0,
THB268567,德明財經科技大學(環山),25.08647,121.56751,THB268567,0,
THB268617,喬治商職,25.02623,121.55484,THB268617,0,
THB268753,臺大癌醫(基隆路),25.01546,121.54251,THB268753,0,
THB268763,遠東科技中心,25.063908,121.650623,THB268763,0,
THB268822,師大分部,25.00695,121.5389,THB268822,0,
THB268861,上灣仔,25.066965,121.590534,THB268861,0,
THB268862,三重稅捐分處,25.060218,121.48663,THB268862,0,
THB268901,潭美公園,25.05966,121.58566,THB268901,0,
THB269016,大武崙工業區,25.149163,121.699932,THB269016,0,
THB269035,新北市立仁愛之家,25.19689,121.682982,THB269035,0,
THB269074,天良電視台,25.05615,121.63204,THB269074,0,
THB269147,內寮,25.15775,121.69442,THB269147,0,
THB269189,福二街口,25.08192,121.696623,THB269189,0,
THB269230,大同國小,25.06494947,121.5181773,THB269230,0,
THB269245,大武崙工業區,25.149181,121.699655,THB269245,0,
THB269300,汐止行政中心,25.064487,121.659235,THB269300,0,
THB269301,百一街口,25.0800283,121.6969298,THB269301,0,
THB269339,捷運臺北橋站,25.063272,121.500222,THB269339,0,
