stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station
TRA_7331,大華,25.04998,121.79732,TRA_7331,0,
TRA_7332,十分,25.04111,121.77514,TRA_7332,0,
TRA_7333,望古,25.03445,121.76349,TRA_7333,0,
TRA_7334,嶺腳,25.03021,121.74794,TRA_7334,0,
TRA_7335,平溪,25.02571,121.74019,TRA_7335,0,
TRA_7336,菁桐,25.02391,121.72391,TRA_7336,0,
TRA_7350,猴硐,25.08702,121.82743,TRA_7350,0,
TRA_7360,瑞芳,25.10898,121.80617,TRA_7360,0,
TRA_7361,海科館,25.13754,121.79997,TRA_7361,0,
TRA_7362,八斗子,25.13545,121.80261,TRA_7362,0,
TRA_7380,四腳亭,25.10281,121.76195,TRA_7380,0,
TRA_7390,暖暖,25.10284,121.74027,TRA_7390,0,
