stop_id,stop_name,stop_lat,stop_lon,zone_id,location_type,parent_station,stop_x_EPSG3826,stop_y_EPSG3826,stop_code,stop_desc,stop_url,stop_timezone,wheelchair_boarding,platform_code
R09_DN,台大醫院-下行月臺(淡水信義線),25.041399,121.51602,,0,050,302070.045,2770462.257,R09,淡水信義線,,Asia/Taipei,1,二
054,雙連,25.057575,121.520685,,1,,302533.89,2772255.802,R12,淡水信義線,,Asia/Taipei,1,
R12_DN,雙連-下行月臺(淡水信義線),25.057575,121.520685,,0,054,302533.89,2772255.802,R12,淡水信義線,,Asia/Taipei,1,二
056,圓山,25.0714085,121.520074,,1,,302466.35,2773787.842,R14,淡水信義線,,Asia/Taipei,1,
R14_DN,圓山-下行月臺(淡水信義線),25.0714085,121.520074,,0,056,302466.35,2773787.842,R14,淡水信義線,,Asia/Taipei,1,二
057,劍潭,25.0842015,121.5249545,,1,,302953.213,2775206.774,R15,淡水信義線,,Asia/Taipei,1,
R15_DN,劍潭-下行月臺(淡水信義線),25.0842015,121.5249545,,0,057,302953.213,2775206.774,R15,淡水信義線,,Asia/Taipei,1,二
058,士林,25.0934925,121.52623,,1,,303077.87,2776236.403,R16,淡水信義線,,Asia/Taipei,1,
R16_DN,士林-下行月臺(淡水信義線),25.0934925,121.52623,,0,058,303077.87,2776236.403,R16,淡水信義線,,Asia/Taipei,1,二
059,芝山,25.102718,121.522546,,1,,302702.325,2777256.835,R17,淡水信義線,,Asia/Taipei,1,
R17_DN,芝山-下行月臺(淡水信義線),25.102718,121.522546,,0,059,302702.325,2777256.835,R17,淡水信義線,,Asia/Taipei,1,二
060,明德,25.109815,121.518785,,1,,302319.976,2778041.481,R18,淡水信義線,,Asia/Taipei,1,
R18_DN,明德-下行月臺(淡水信義線),25.109815,121.518785,,0,060,302319.976,2778041.481,R18,淡水信義線,,Asia/Taipei,1,二
061,石牌,25.114455,121.515572,,1,,301993.973,2778554.195,R19,淡水信義線,,Asia/Taipei,1,
R19_DN,石牌-下行月臺(淡水信義線),25.114455,121.515572,,0,061,301993.973,2778554.195,R19,淡水信義線,,Asia/Taipei,1,二
062,唭哩岸,25.1208515,121.506234,,1,,301049.589,2779259.148,R20,淡水信義線,,Asia/Taipei,1,
R20_DN,唭哩岸-下行月臺(淡水信義線),25.1208515,121.506234,,0,062,301049.589,2779259.148,R20,淡水信義線,,Asia/Taipei,1,二
063,奇岩,25.1254705,121.50114,,1,,300533.992,2779768.861,R21,淡水信義線,,Asia/Taipei,1,
R21_DN,奇岩-下行月臺(淡水信義線),25.1254705,121.50114,,0,063,300533.992,2779768.861,R21,淡水信義線,,Asia/Taipei,1,二
064,北投,25.1318185,121.4986475,,1,,300280.051,2780471.075,R22,淡水信義線,,Asia/Taipei,1,
R22_DN,北投-下行月臺(淡水信義線),25.1318185,121.4986475,,0,064,300280.051,2780471.075,R22,淡水信義線,,Asia/Taipei,1,二、三
066,復興崗,25.137497,121.485456,,1,,298947.63,2781095.21,R23,淡水信義線,,Asia/Taipei,1,
R23_DN,復興崗-下行月臺(淡水信義線),25.137497,121.485456,,0,066,298947.63,2781095.21,R23,淡水信義線,,Asia/Taipei,1,二
067,忠義,25.1309225,121.4732975,,1,,297724.248,2780362.62,R24,淡水信義線,,Asia/Taipei,1,
R24_DN,忠義-下行月臺(淡水信義線),25.1309225,121.4732975,,0,067,297724.248,2780362.62,R24,淡水信義線,,Asia/Taipei,1,二
068,關渡,25.12551,121.467,,1,,297091.314,2779760.886,R25,淡水信義線,,Asia/Taipei,1,
R25_DN,關渡-下行月臺(淡水信義線),25.12551,121.467,,0,068,297091.314,2779760.886,R25,淡水信義線,,Asia/Taipei,1,二
069,竹圍,25.1369,121.45955,,1,,296335.764,2781019.932,R26,淡水信義線,,Asia/Taipei,1,
R26_DN,竹圍-下行月臺(淡水信義線),25.1369,121.45955,,0,069,296335.764,2781019.932,R26,淡水信義線,,Asia/Taipei,1,二
070,紅樹林,25.15399,121.4588,,1,,296253.7,2782912.67,R27,淡水信義線,,Asia/Taipei,1,
R27_DN,紅樹林-下行月臺(淡水信義線),25.15399,121.4588,,0,070,296253.7,2782912.67,R27,淡水信義線,,Asia/Taipei,1,二
071,淡水,25.167745,121.445805,,1,,294938.558,2784431.865,R28,淡水信義線,,Asia/Taipei,1,
R28_DN,淡水-下行月臺(淡水信義線),25.167745,121.445805,,0,071,294938.558,2784431.865,R28,淡水信義線,,Asia/Taipei,1,二
